as_of_date,etf_code,stck_shrn_iscd,hts_kor_isnm,stck_prpr,etf_vltn_amt,etf_vltn_amt_float,weight,acml_vol,acml_tr_pbmn,etf_cnfg_issu_rlim,prdy_vrss,prdy_vrss_sign,prdy_ctrt,tday_rsfl_rate,prdy_vrss_vol,tr_pbmn_tnrt,hts_avls,etf_cnfg_issu_avls
2025-12-01,069500,005930,삼성전자,100800,715057500,715057500.0,0.27039415203613815,10905526,1101995992050,25.81,300,2,0.30,2.89,-4386751,0.18,5966995,717192000
2025-12-01,069500,000660,SK하이닉스,538000,452090000,452090000.0,0.17095477244000334,3134704,1686705134500,16.51,8000,2,1.51,3.77,454566,0.43,3916653,458914000
2025-12-01,069500,105560,KB금융,126300,61526400,61526400.0,0.023265791570378953,810275,101924777650,2.24,1500,2,1.20,2.40,124537,0.21,481787,62265900
2025-12-01,069500,005380,현대차,254500,53869000,53869000.0,0.02037019760793324,555473,141915463500,1.89,-7000,5,-2.68,3.06,44469,0.27,521109,52427000
2025-12-01,069500,055550,신한지주,79700,49530000,49530000.0,0.018729434136904963,1074044,84981572150,1.82,1700,2,2.18,2.31,38555,0.22,386939,50609500
2025-12-01,069500,034020,두산에너빌리티,74900,49889200,49889200.0,0.018865263184794652,2242179,168909395950,1.76,-1500,5,-1.96,4.32,147397,0.35,479780,48909700
2025-12-01,069500,035420,NAVER,243000,47824000,47824000.0,0.018084321788074762,666662,162715774500,1.71,-1000,5,-0.41,2.05,-914225,0.43,381152,47628000
2025-12-01,069500,068270,셀트리온,185800,43616000,43616000.0,0.016493095080057477,399280,74528498150,1.57,200,2,0.11,2.61,-63535,0.17,429125,43663000
2025-12-01,069500,012450,한화에어로스페이스,813000,45156000,45156000.0,0.01707543565285848,270803,221010380500,1.55,-39000,5,-4.58,4.46,75570,0.53,419210,43089000
2025-12-01,069500,402340,SK스퀘어,302000,41422000,41422000.0,0.015663448835430596,423148,128419901000,1.51,4000,2,1.34,4.03,33377,0.32,400273,41978000
2025-12-01,069500,000270,기아,112300,42331100,42331100.0,0.01600721884499773,690993,77461574500,1.50,-1800,5,-1.58,2.98,81364,0.18,438434,41663300
2025-12-01,069500,086790,하나금융지주,94400,35547300,35547300.0,0.013441970807486409,543658,51122286050,1.29,1100,2,1.18,2.47,-91546,0.19,262740,35966400
2025-12-01,069500,028260,삼성물산,226500,34425000,34425000.0,0.01301758066147695,189135,42564902000,1.25,1500,2,0.67,2.89,-62990,0.11,384997,34654500
2025-12-01,069500,005490,POSCO홀딩스,309000,32497500,32497500.0,0.012288709587402968,145980,45186284750,1.17,-500,5,-0.16,2.42,-64555,0.18,250083,32445000
2025-12-01,069500,035720,카카오,59500,30054400,30054400.0,0.011364867864409378,1804308,107559713350,1.10,800,2,1.36,2.39,200460,0.41,263219,30464000
2025-12-01,069500,009540,HD한국조선해양,403000,29110000,29110000.0,0.01100774939885531,240157,96577231250,1.03,-7000,5,-1.71,4.39,27565,0.34,285216,28613000
2025-12-01,069500,012330,현대모비스,303500,29093000,29093000.0,0.011001320963960753,140222,42747366000,1.03,-6000,5,-1.94,2.58,-133578,0.16,275373,28529000
2025-12-01,069500,316140,우리금융지주,27450,26974800,26974800.0,0.010200337976099011,2937307,80075128025,1.00,900,2,3.39,3.95,843326,0.40,201504,27889200
2025-12-01,069500,006400,삼성SDI,299000,27554000,27554000.0,0.010419358534388842,255242,76552508500,0.99,-500,5,-0.17,2.84,-84635,0.32,240951,27508000
2025-12-01,069500,051910,LG화학,372000,26180000,26180000.0,0.00989978973761704,213121,79611395250,0.94,-2000,5,-0.53,4.41,-188414,0.30,262604,26040000
2025-12-01,069500,267260,HD현대일렉트릭,746000,26350000,26350000.0,0.009964074086562604,173891,129736598000,0.91,-29000,5,-3.74,6.58,53622,0.48,268912,25364000
2025-12-01,069500,207940,삼성바이오로직스,1649000,24105000,24105000.0,0.009115142537252052,54392,89545911500,0.89,42000,2,2.61,2.43,4061,0.12,763338,24735000
2025-12-01,069500,010140,삼성중공업,24200,24698400,24698400.0,0.009339532729394985,2925839,71088634600,0.87,-400,5,-1.63,3.66,-162645,0.33,212960,24296800
2025-12-01,069500,015760,한국전력,50100,25147500,25147500.0,0.009509356853580004,4697383,238753540225,0.86,-2400,5,-4.57,7.33,2040974,0.74,321624,23997900
2025-12-01,069500,000810,삼성화재,502000,22149000,22149000.0,0.00837549438114896,88155,43369606250,0.83,20500,2,4.26,4.05,31026,0.19,230976,23092000
2025-12-01,069500,373220,LG에너지솔루션,413000,21624000,21624000.0,0.008176969185875892,286573,118147632250,0.79,5000,2,1.23,2.82,-426340,0.12,966420,21889000
2025-12-01,069500,009150,삼성전기,250000,21084000,21084000.0,0.00797277184216645,544242,135716396750,0.76,-1000,5,-0.40,6.18,14658,0.73,186734,21000000
2025-12-01,069500,329180,HD현대중공업,515000,21400000,21400000.0,0.008092265102559382,224599,115546856000,0.74,-20000,5,-3.74,5.79,-22094,0.25,457182,20600000
2025-12-01,069500,032830,삼성생명,153800,19571200,19571200.0,0.0074007167651967375,146660,22437011350,0.71,900,2,0.59,2.81,-156460,0.07,307600,19686400
2025-12-01,069500,033780,KT&G,143500,19788000,19788000.0,0.007482698217263788,176245,25256727050,0.70,-2000,5,-1.37,2.54,-60220,0.15,169296,19516000
2025-12-01,069500,064350,현대로템,170400,19502700,19502700.0,0.007374813954003966,596073,101814825200,0.68,-5300,5,-3.02,4.04,572,0.55,185978,18914400
2025-12-01,069500,042660,한화오션,105000,18541600,18541600.0,0.007011380496524068,1316451,139714513200,0.65,-2800,5,-2.60,4.82,-483878,0.43,321734,18060000
2025-12-01,069500,030200,KT,50400,16833600,16833600.0,0.006365511861235683,123176,6216097900,0.61,0,3,0.00,0.99,-31412,0.05,127019,16833600
2025-12-01,069500,066570,LG전자,85400,14038400,14038400.0,0.005308525907278955,428509,36677287800,0.50,-200,5,-0.23,1.52,105768,0.26,139105,14005600
2025-12-01,069500,034730,SK,253000,14337000,14337000.0,0.005421439475485695,247963,63316796000,0.49,-12500,5,-4.71,4.90,-239873,0.35,183432,13662000
2025-12-01,069500,267250,HD현대,188300,13558500,13558500.0,0.005127054971637916,265176,50065647350,0.47,-8200,5,-4.17,7.02,48085,0.34,148744,12992700
2025-12-01,069500,096770,SK이노베이션,114600,12995000,12995000.0,0.004913971262044821,164925,18955372100,0.47,-400,5,-0.35,3.22,-40553,0.10,193734,12949800
2025-12-01,069500,138040,메리츠금융지주,108700,12706200,12706200.0,0.004804763497483179,167990,18268979900,0.46,100,2,0.09,1.84,-20255,0.10,190466,12717900
2025-12-01,069500,298040,효성중공업,1806000,13307000,13307000.0,0.005031951949521388,80698,145922943500,0.45,-95000,5,-5.00,6.89,24416,0.87,168401,12642000
2025-12-01,069500,010130,고려아연,1368000,12078000,12078000.0,0.004567213920967861,34872,46909205000,0.44,26000,2,1.94,6.93,-12113,0.18,264616,12312000
2025-12-01,069500,017670,SK텔레콤,53500,12037500,12037500.0,0.004551899120189652,365995,19544853800,0.43,0,3,0.00,1.31,22112,0.17,114913,12037500
2025-12-01,069500,047810,한국항공우주,107000,11652300,11652300.0,0.004406238348343584,469909,50804581100,0.41,-1900,5,-1.74,3.31,-19571,0.49,104298,11449000
2025-12-01,069500,323410,카카오뱅크,21650,11149750,11149750.0,0.004216202468563621,491113,10658166275,0.40,0,3,0.00,2.31,48856,0.10,103268,11149750
2025-12-01,069500,000100,유한양행,121900,11102000,11102000.0,0.004198146129374499,263880,32050586100,0.40,-100,5,-0.08,1.39,-186543,0.33,97482,11092900
2025-12-01,069500,259960,크래프톤,252000,11330000,11330000.0,0.004284362785607374,61514,15623914000,0.40,-5500,5,-2.14,3.69,9148,0.13,119453,11088000
2025-12-01,069500,003550,LG,79300,10874400,10874400.0,0.00411208073043326,185392,14689872150,0.39,500,2,0.63,3.81,-270193,0.12,122298,10943400
2025-12-01,069500,010120,LS ELECTRIC,443000,11040000,11040000.0,0.004174701249170821,157852,70353230000,0.38,-17000,5,-3.70,7.39,42663,0.53,132900,10632000
2025-12-01,069500,071050,한국금융지주,159300,9944800,9944800.0,0.003760558784669745,159355,25410012500,0.36,-1100,5,-0.69,3.43,-12662,0.29,88772,9876600
2025-12-01,069500,018260,삼성에스디에스,169700,9773000,9773000.0,0.0036955937779118153,82717,14017462650,0.35,1200,2,0.71,1.54,-18246,0.11,131310,9842600
2025-12-01,069500,003670,포스코퓨처엠,209000,9705500,9705500.0,0.003670069109948135,289732,60896355000,0.35,2500,2,1.21,4.12,106546,0.33,185898,9823000
2025-12-01,069500,011200,HMM,19980,9072360,9072360.0,0.0034306515058811046,2761859,55406612150,0.34,840,2,4.39,5.96,1835715,0.29,188459,9470520
2025-12-01,069500,352820,하이브,292000,9584000,9584000.0,0.0036241247076135106,141298,41455270750,0.34,-7500,5,-2.50,3.84,-52575,0.33,124276,9344000
2025-12-01,069500,278470,에이피알,252500,9453500,9453500.0,0.003574777016217062,357740,89453221500,0.34,-3000,5,-1.17,4.89,-26949,0.95,94512,9342500
2025-12-01,069500,000150,두산,833000,9636000,9636000.0,0.0036437881555262714,106391,89470571500,0.33,-43000,5,-4.91,7.19,26587,0.66,134895,9163000
2025-12-01,069500,086280,현대글로비스,163000,9206400,9206400.0,0.0034813378243085374,130264,21199176450,0.33,-1400,5,-0.85,2.74,28472,0.17,122250,9128000
2025-12-01,069500,006800,미래에셋증권,21900,9089600,9089600.0,0.003437170695150643,2403869,52639973950,0.33,50,2,0.23,4.58,267629,0.42,124899,9110400
2025-12-01,069500,024110,기업은행,20700,8466600,8466600.0,0.0032015874634266014,617834,12713017275,0.31,150,2,0.73,1.70,-221798,0.08,165067,8528400
2025-12-01,069500,005830,DB손해보험,127200,8341500,8341500.0,0.003154281745467247,176793,22414967050,0.31,2700,2,2.17,2.81,18242,0.25,90058,8522400
2025-12-01,069500,003490,대한항공,21950,8455950,8455950.0,0.0031975602380367764,742785,16283331600,0.31,100,2,0.46,1.14,258414,0.20,80824,8494650
2025-12-01,069500,003230,삼양식품,1346000,8670000,8670000.0,0.003278501796223825,142030,189599350000,0.29,-99000,5,-6.85,9.69,108846,1.87,101394,8076000
2025-12-01,069500,042700,한미반도체,121700,7910400,7910400.0,0.002991264199405876,798823,98202688150,0.28,-1900,5,-1.54,5.02,228512,0.85,115995,7788800
2025-12-01,069500,079550,LIG넥스원,368000,7660000,7660000.0,0.002896577134841349,156239,57504172750,0.26,-15000,5,-3.92,4.18,67185,0.71,80960,7360000
2025-12-01,069500,016360,삼성증권,79300,7249600,7249600.0,0.002741387153622173,206796,16435166250,0.26,500,2,0.63,2.28,-13598,0.23,70815,7295600
2025-12-01,069500,180640,한진칼,101800,7270400,7270400.0,0.002749252532787277,36419,3691315550,0.26,-600,5,-0.59,3.52,-45912,0.05,67964,7227800
2025-12-01,069500,000720,현대건설,64100,7504000,7504000.0,0.002837586791103066,1102736,71745299250,0.26,-2900,5,-4.33,5.37,-550332,1.01,71379,7179200
2025-12-01,069500,021240,코웨이,86200,7138000,7138000.0,0.0026991863692555546,165541,14277016200,0.26,200,2,0.23,2.44,-69118,0.23,61986,7154600
2025-12-01,069500,161390,한국타이어앤테크놀로지,60100,6703500,6703500.0,0.002534883136215272,172462,10424355350,0.24,-1400,5,-2.28,3.25,-267114,0.14,74449,6550900
2025-12-01,069500,032640,LG유플러스,15240,6310140,6310140.0,0.002386136715619816,422455,6397885730,0.23,180,2,1.20,1.46,-100099,0.10,65506,6385560
2025-12-01,069500,028050,삼성E&A,25500,6106450,6106450.0,0.002309112721286156,701256,17846472825,0.22,-50,5,-0.20,3.13,299578,0.36,49980,6094500
2025-12-01,069500,138930,BNK금융지주,15300,5899600,5899600.0,0.002230893794348567,981692,14960206160,0.22,250,2,1.66,2.26,468323,0.31,48107,5997600
2025-12-01,069500,090430,아모레퍼시픽,125400,5842100,5842100.0,0.0022091505586758022,140031,17533496350,0.21,1100,2,0.88,1.45,-5937,0.24,73350,5893800
2025-12-01,069500,175330,JB금융지주,24250,5784000,5784000.0,0.002187180437065583,309359,7501202175,0.21,150,2,0.62,3.11,-23245,0.16,46047,5820000
2025-12-01,069500,326030,SK바이오팜,137900,5871600,5871600.0,0.0022203057839340033,285288,39168377100,0.21,-1900,5,-1.36,3.86,-204736,0.36,107994,5791800
2025-12-01,069500,039490,키움증권,270500,5733000,5733000.0,0.002167895132381913,81372,21962363250,0.20,-2500,5,-0.92,4.76,-8237,0.31,71900,5680500
2025-12-01,069500,034220,LG디스플레이,12330,5530140,5530140.0,0.0020911849969283995,1288139,15964194895,0.20,-210,5,-1.67,3.59,298678,0.26,61650,5437530
2025-12-01,069500,036570,엔씨소프트,203000,5460000,5460000.0,0.002064662030839917,130486,26520387750,0.19,-7000,5,-3.33,2.90,5285,0.61,43734,5278000
2025-12-01,069500,066970,엘앤에프,128100,5133200,5133200.0,0.0019410848235727955,359461,45972318400,0.19,2900,2,2.32,4.47,-7172,0.91,50601,5252100
2025-12-01,069500,011070,LG이노텍,237500,5214000,5214000.0,0.0019716387964833935,94906,22359819750,0.19,500,2,0.21,4.22,8750,0.40,56209,5225000
2025-12-01,069500,010950,S-Oil,77900,4832100,4832100.0,0.0018272258972933267,228697,17751147800,0.18,1200,2,1.56,2.35,-107896,0.20,87702,4907700
2025-12-01,069500,272210,한화시스템,45350,4897200,4897200.0,0.0018518430215071872,801093,36571170950,0.17,-850,5,-1.84,3.03,84905,0.43,85675,4807100
2025-12-01,069500,005940,NH투자증권,20650,4584300,4584300.0,0.0017335220051244381,311758,6442161825,0.16,0,3,0.00,2.18,-143770,0.09,73585,4584300
2025-12-01,069500,009830,한화솔루션,27700,4611750,4611750.0,0.0017439020367630016,492175,13618004325,0.16,-250,5,-0.89,2.15,-41589,0.29,47614,4570500
2025-12-01,069500,006260,LS,173900,4651400,4651400.0,0.001758895415796482,140244,24501599550,0.16,-5000,5,-2.79,4.86,32508,0.44,55126,4521400
2025-12-01,069500,128940,한미약품,451000,4565000,4565000.0,0.0017262238408029711,101900,46050658250,0.16,-5500,5,-1.20,2.85,19736,0.80,57778,4510000
2025-12-01,069500,241560,두산밥캣,56700,4360800,4360800.0,0.0016490069934224747,247115,13883250700,0.16,1500,2,2.72,2.72,31169,0.26,54350,4479300
2025-12-01,069500,051900,LG생활건강,276000,3871000,3871000.0,0.0014637924398134285,62818,17347239250,0.14,-500,5,-0.18,1.08,-30813,0.41,42235,3864000
2025-12-01,069500,004020,현대제철,30050,3865600,3865600.0,0.0014617504663763342,190345,5734903450,0.14,-150,5,-0.50,2.81,-56244,0.14,40100,3846400
2025-12-01,069500,078930,GS,56300,3835200,3835200.0,0.0014502549122119507,139390,7823616400,0.14,-100,5,-0.18,3.01,-117749,0.15,52311,3828400
2025-12-01,069500,047050,포스코인터내셔널,53300,3752000,3752000.0,0.001418793395551533,225680,12155114200,0.13,-300,5,-0.56,3.73,-10078,0.13,93767,3731000
2025-12-01,069500,001040,CJ,174900,3698100,3698100.0,0.0013984114755034977,79956,14042195950,0.13,-1200,5,-0.68,3.69,-34441,0.28,51031,3672900
2025-12-01,069500,001440,대한전선,21550,3774000,3774000.0,0.0014271125465915471,2355534,51109000300,0.13,-650,5,-2.93,5.18,321045,1.27,40179,3663500
2025-12-01,069500,271560,오리온,106000,3481500,3481500.0,0.001316505652082266,119684,12645752550,0.13,500,2,0.47,1.71,15179,0.30,41908,3498000
2025-12-01,069500,017800,현대엘리베이터,87700,3385200,3385200.0,0.0012800904591207488,393460,34507237750,0.12,900,2,1.04,4.26,-402045,1.01,34284,3420300
2025-12-01,069500,000880,한화,78900,3334800,3334800.0,0.001261032040374534,134038,10592026000,0.12,-500,5,-0.63,3.15,14985,0.18,59142,3313800
2025-12-01,069500,011790,SKC,109200,3336000,3336000.0,0.001261485812249444,172105,18886150500,0.12,-2000,5,-1.80,2.43,67926,0.46,41352,3276000
2025-12-01,069500,014680,한솔케미칼,248000,3094000,3094000.0,0.0011699751508092865,60716,14845584750,0.12,10000,2,4.20,6.09,14801,0.53,28111,3224000
2025-12-01,069500,0126Z0,삼성에피스홀딩스,398000,3432000,3432000.0,0.0012977875622422338,876925,355561049750,0.11,-31000,5,-7.23,9.67,-789413,3.59,99035,3184000
2025-12-01,069500,035250,강원랜드,18060,3112270,3112270.0,0.0011768838276047893,414706,7482791280,0.11,70,2,0.39,1.56,16106,0.19,38638,3124380
2025-12-01,069500,139130,iM금융지주,14400,3031600,3031600.0,0.001146379013313973,376848,5421043310,0.11,100,2,0.70,1.33,75790,0.23,23336,3052800
2025-12-01,069500,009420,한올바이오파마,55200,2527200,2527200.0,0.0009556435685601903,3611571,190973449975,0.11,8400,2,17.95,20.94,2852881,6.62,28837,2980800
