stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas,code,date,stck_clpr_float,stck_oprc_float,stck_hgpr_float,stck_lwpr_float,acml_vol_float,acml_tr_pbmn_float
20241202,31981,32235,32284,31859,7516911,240966602015,00,0.00,N,2,58,,069500,2024-12-02,31981.0,32235.0,32284.0,31859.0,7516911.0,240966602015.0
20241203,32450,32142,32529,32142,5829618,188999670415,00,0.00,N,2,469,,069500,2024-12-03,32450.0,32142.0,32529.0,32142.0,5829618.0,188999670415.0
20241204,32010,31878,32245,31761,11609881,371195294070,00,0.00,N,5,-440,,069500,2024-12-04,32010.0,31878.0,32245.0,31761.0,11609881.0,371195294070.0
20241205,31785,32035,32079,31663,8993333,286413903390,00,0.00,N,5,-224,,069500,2024-12-05,31785.0,32035.0,32079.0,31663.0,8993333.0,286413903390.0
20241206,31624,31868,32010,31140,12533152,396104278340,00,0.00,N,5,-161,,069500,2024-12-06,31624.0,31868.0,32010.0,31140.0,12533152.0,396104278340.0
20241209,30837,31179,31311,30807,10902047,337947423130,00,0.00,N,5,-787,,069500,2024-12-09,30837.0,31179.0,31311.0,30807.0,10902047.0,337947423130.0
20241210,31463,31140,31536,31125,5779070,181344857200,00,0.00,N,2,625,,069500,2024-12-10,31463.0,31140.0,31536.0,31125.0,5779070.0,181344857200.0
20241211,31790,31321,31810,31306,4777286,151164049580,00,0.00,N,2,327,,069500,2024-12-11,31790.0,31321.0,31810.0,31306.0,4777286.0,151164049580.0
20241212,32245,31991,32343,31873,6927905,222289594875,00,0.00,N,2,454,,069500,2024-12-12,32245.0,31991.0,32343.0,31873.0,6927905.0,222289594875.0
20241213,32392,32167,32524,32089,7353127,237891910235,00,0.00,N,2,146,,069500,2024-12-13,32392.0,32167.0,32524.0,32089.0,7353127.0,237891910235.0
20241216,32274,32612,32705,32211,5091747,164986066665,00,0.00,N,5,-117,,069500,2024-12-16,32274.0,32612.0,32705.0,32211.0,5091747.0,164986066665.0
20241217,31903,32230,32250,31854,5582234,178530576815,00,0.00,N,5,-371,,069500,2024-12-17,31903.0,32230.0,32250.0,31854.0,5582234.0,178530576815.0
20241218,32353,31981,32450,31981,4537512,146593345290,00,0.00,N,2,449,,069500,2024-12-18,32353.0,31981.0,32450.0,31981.0,4537512.0,146593345290.0
20241219,31619,31546,31780,31467,5830172,184532948760,00,0.00,N,5,-733,,069500,2024-12-19,31619.0,31546.0,31780.0,31467.0,5830172.0,184532948760.0
20241220,31164,31487,31487,30930,9921791,309160283715,00,0.00,N,5,-454,,069500,2024-12-20,31164.0,31487.0,31487.0,30930.0,9921791.0,309160283715.0
20241223,31688,31433,31795,31321,7082158,224038605950,00,0.00,N,2,523,,069500,2024-12-23,31688.0,31433.0,31795.0,31321.0,7082158.0,224038605950.0
20241224,31712,31829,31864,31580,5318312,168630880200,00,0.00,N,2,24,,069500,2024-12-24,31712.0,31829.0,31864.0,31580.0,5318312.0,168630880200.0
20241226,31526,31824,31824,31502,3278244,103677517795,00,0.00,N,5,-185,,069500,2024-12-26,31526.0,31824.0,31824.0,31502.0,3278244.0,103677517795.0
20241227,31438,31472,31609,31174,4958679,155631648190,00,0.00,N,5,-88,,069500,2024-12-27,31438.0,31472.0,31609.0,31174.0,4958679.0,155631648190.0
20241230,31355,31326,31736,31243,4256146,134198674980,00,0.00,N,5,-83,,069500,2024-12-30,31355.0,31326.0,31736.0,31243.0,4256146.0,134198674980.0
20250102,31287,31228,31389,31042,5864148,183045820020,00,0.00,N,5,-68,,069500,2025-01-02,31287.0,31228.0,31389.0,31042.0,5864148.0,183045820020.0
20250103,31912,31277,32133,31267,9140204,291405897755,00,0.00,N,2,625,,069500,2025-01-03,31912.0,31277.0,32133.0,31267.0,9140204.0,291405897755.0
20250106,32597,32010,32675,31961,7791976,252885286575,00,0.00,N,2,684,,069500,2025-01-06,32597.0,32010.0,32675.0,31961.0,7791976.0,252885286575.0
20250107,32607,32905,33115,32597,7859979,257551193265,00,0.00,N,2,9,,069500,2025-01-07,32607.0,32905.0,33115.0,32597.0,7859979.0,257551193265.0
20250108,32920,32333,33096,32333,8334231,274001018745,00,0.00,N,2,312,,069500,2025-01-08,32920.0,32333.0,33096.0,32333.0,8334231.0,274001018745.0
20250109,32944,32905,33233,32866,9180645,303170456335,00,0.00,N,2,24,,069500,2025-01-09,32944.0,32905.0,33233.0,32866.0,9180645.0,303170456335.0
20250110,32895,32925,33125,32744,10733476,353651435925,00,0.00,N,5,-48,,069500,2025-01-10,32895.0,32925.0,33125.0,32744.0,10733476.0,353651435925.0
20250113,32460,32714,32812,32377,8188038,266579297750,00,0.00,N,5,-435,,069500,2025-01-13,32460.0,32714.0,32812.0,32377.0,8188038.0,266579297750.0
20250114,32602,32651,32675,32348,6012906,195731322330,00,0.00,N,2,141,,069500,2025-01-14,32602.0,32651.0,32675.0,32348.0,6012906.0,195731322330.0
20250115,32553,32729,32974,32485,7256363,236973425470,00,0.00,N,5,-48,,069500,2025-01-15,32553.0,32729.0,32974.0,32485.0,7256363.0,236973425470.0
20250116,33018,32998,33145,32905,6884880,227442270730,00,0.00,N,2,464,,069500,2025-01-16,33018.0,32998.0,33145.0,32905.0,6884880.0,227442270730.0
20250117,32949,32886,33042,32773,5526986,182035415700,00,0.00,N,5,-68,,069500,2025-01-17,32949.0,32886.0,33042.0,32773.0,5526986.0,182035415700.0
20250120,32895,33111,33125,32822,5809527,191311936490,00,0.00,N,5,-53,,069500,2025-01-20,32895.0,33111.0,33125.0,32822.0,5809527.0,191311936490.0
20250121,32925,33096,33350,32739,7285244,240254470935,00,0.00,N,2,29,,069500,2025-01-21,32925.0,33096.0,33350.0,32739.0,7285244.0,240254470935.0
20250122,33301,33159,33404,32993,5126531,170328896040,00,0.00,N,2,376,,069500,2025-01-22,33301.0,33159.0,33404.0,32993.0,5126531.0,170328896040.0
20250123,32944,33257,33267,32895,4039643,133387315585,00,0.00,N,5,-356,,069500,2025-01-23,32944.0,33257.0,33267.0,32895.0,4039643.0,133387315585.0
20250124,33141,33106,33283,32974,7959897,263793289260,03,-0.33,N,2,196,,069500,2025-01-24,33141.0,33106.0,33283.0,32974.0,7959897.0,263793289260.0
20250131,32817,32777,32866,32532,7924583,259472494640,00,0.00,N,5,-323,,069500,2025-01-31,32817.0,32777.0,32866.0,32532.0,7924583.0,259472494640.0
20250203,31919,32115,32115,31674,15905476,506793065920,00,0.00,N,5,-897,,069500,2025-02-03,31919.0,32115.0,32115.0,31674.0,15905476.0,506793065920.0
20250204,32316,32311,32773,32184,12285965,398172860465,00,0.00,N,2,397,,069500,2025-02-04,32316.0,32311.0,32773.0,32184.0,12285965.0,398172860465.0
20250205,32699,32665,32856,32586,6623810,216866650825,00,0.00,N,2,382,,069500,2025-02-05,32699.0,32665.0,32856.0,32586.0,6623810.0,216866650825.0
20250206,33028,32910,33038,32768,5165140,170471054025,00,0.00,N,2,328,,069500,2025-02-06,33028.0,32910.0,33038.0,32768.0,5165140.0,170471054025.0
20250207,32812,33047,33077,32777,8007651,263438541125,00,0.00,N,5,-215,,069500,2025-02-07,32812.0,33047.0,33077.0,32777.0,8007651.0,263438541125.0
20250210,32881,32640,32959,32493,6615695,217260601795,00,0.00,N,2,68,,069500,2025-02-10,32881.0,32640.0,32959.0,32493.0,6615695.0,217260601795.0
20250211,33141,33052,33298,32949,7941214,263193885270,00,0.00,N,2,260,,069500,2025-02-11,33141.0,33052.0,33298.0,32949.0,7941214.0,263193885270.0
20250212,33185,33087,33224,32905,8149933,270289000765,00,0.00,N,2,44,,069500,2025-02-12,33185.0,33087.0,33224.0,32905.0,8149933.0,270289000765.0
20250213,33553,33298,33553,33268,6725000,225217370180,00,0.00,N,2,367,,069500,2025-02-13,33553.0,33298.0,33553.0,33268.0,6725000.0,225217370180.0
20250214,33719,33607,33876,33567,7809945,263587421200,00,0.00,N,2,166,,069500,2025-02-14,33719.0,33607.0,33876.0,33567.0,7809945.0,263587421200.0
20250217,33965,33832,34009,33764,5349754,181638969080,00,0.00,N,2,245,,069500,2025-02-17,33965.0,33832.0,34009.0,33764.0,5349754.0,181638969080.0
20250218,34215,33999,34274,33911,5070059,173181042800,00,0.00,N,2,250,,069500,2025-02-18,34215.0,33999.0,34274.0,33911.0,5070059.0,173181042800.0
20250219,34912,34343,35059,34343,6367023,222075004910,00,0.00,N,2,696,,069500,2025-02-19,34912.0,34343.0,35059.0,34343.0,6367023.0,222075004910.0
20250220,34607,34818,34863,34558,8301333,288002246255,00,0.00,N,5,-304,,069500,2025-02-20,34607.0,34818.0,34863.0,34558.0,8301333.0,288002246255.0
20250221,34647,34686,34686,34411,6523215,225779149130,00,0.00,N,2,39,,069500,2025-02-21,34647.0,34686.0,34686.0,34411.0,6523215.0,225779149130.0
20250224,34431,34352,34436,34205,7033025,241855699765,00,0.00,N,5,-215,,069500,2025-02-24,34431.0,34352.0,34436.0,34205.0,7033025.0,241855699765.0
20250225,34249,34009,34367,33979,5969870,204360114740,00,0.00,N,5,-181,,069500,2025-02-25,34249.0,34009.0,34367.0,33979.0,5969870.0,204360114740.0
20250226,34421,34215,34534,34073,5299456,182022649325,00,0.00,N,2,171,,069500,2025-02-26,34421.0,34215.0,34534.0,34073.0,5299456.0,182022649325.0
20250227,34284,34450,34470,34107,6971859,239082094665,00,0.00,N,5,-137,,069500,2025-02-27,34284.0,34450.0,34470.0,34107.0,6971859.0,239082094665.0
20250228,33145,33734,33769,33023,19814336,658166975590,00,0.00,N,5,-1138,,069500,2025-02-28,33145.0,33734.0,33769.0,33023.0,19814336.0,658166975590.0
20250304,33062,32979,33283,32812,7366217,243725118900,00,0.00,N,5,-83,,069500,2025-03-04,33062.0,32979.0,33283.0,32812.0,7366217.0,243725118900.0
20250305,33312,33302,33499,33033,8594793,286125825708,00,0.00,N,2,250,,069500,2025-03-05,33312.0,33302.0,33499.0,33033.0,8594793.0,286125825708.0
20250306,33641,33469,33744,33410,7308047,245709830572,00,0.00,N,2,328,,069500,2025-03-06,33641.0,33469.0,33744.0,33410.0,7308047.0,245709830572.0
20250307,33484,33332,33631,33150,4629445,154995196658,00,0.00,N,5,-156,,069500,2025-03-07,33484.0,33332.0,33631.0,33150.0,4629445.0,154995196658.0
20250310,33562,33288,33661,33248,4867877,163247037280,00,0.00,N,2,78,,069500,2025-03-10,33562.0,33288.0,33661.0,33248.0,4867877.0,163247037280.0
20250311,33185,32768,33278,32670,7942449,262452199673,00,0.00,N,5,-377,,069500,2025-03-11,33185.0,32768.0,33278.0,32670.0,7942449.0,262452199673.0
20250312,33710,33332,33793,33170,7207456,242581187762,00,0.00,N,2,524,,069500,2025-03-12,33710.0,33332.0,33793.0,33170.0,7207456.0,242581187762.0
20250313,33548,33911,34087,33518,8922949,301496269519,00,0.00,N,5,-161,,069500,2025-03-13,33548.0,33911.0,34087.0,33518.0,8922949.0,301496269519.0
20250314,33734,33587,33832,33528,7064908,238213104129,00,0.00,N,2,186,,069500,2025-03-14,33734.0,33587.0,33832.0,33528.0,7064908.0,238213104129.0
20250317,34392,33989,34450,33989,5602215,192572202284,00,0.00,N,2,657,,069500,2025-03-17,34392.0,33989.0,34450.0,33989.0,5602215.0,192572202284.0
20250318,34475,34784,34912,34406,6314941,218442681314,00,0.00,N,2,83,,069500,2025-03-18,34475.0,34784.0,34912.0,34406.0,6314941.0,218442681314.0
20250319,34769,34495,34977,34495,4787104,166712024602,00,0.00,N,2,294,,069500,2025-03-19,34769.0,34495.0,34977.0,34495.0,4787104.0,166712024602.0
20250320,35005,35025,35142,34833,5735346,200920744848,00,0.00,N,2,235,,069500,2025-03-20,35005.0,35025.0,35142.0,34833.0,5735346.0,200920744848.0
20250321,35172,34931,35226,34858,6371734,223878020367,00,0.00,N,2,166,,069500,2025-03-21,35172.0,34931.0,35226.0,34858.0,6371734.0,223878020367.0
20250324,35049,35034,35260,34926,6397783,224394964322,00,0.00,N,5,-122,,069500,2025-03-24,35049.0,35034.0,35260.0,34926.0,6397783.0,224394964322.0
20250325,34887,35255,35265,34809,6697109,234061883357,00,0.00,N,5,-161,,069500,2025-03-25,34887.0,35255.0,35265.0,34809.0,6697109.0,234061883357.0
20250326,35182,35034,35294,34912,5224835,183756600509,00,0.00,N,2,294,,069500,2025-03-26,35182.0,35034.0,35294.0,34912.0,5224835.0,183756600509.0
20250327,34750,34818,35069,34720,7328644,255215588381,00,0.00,N,5,-431,,069500,2025-03-27,34750.0,34818.0,35069.0,34720.0,7328644.0,255215588381.0
20250328,34190,34607,34607,34019,9596974,327974325022,00,0.00,N,5,-559,,069500,2025-03-28,34190.0,34607.0,34607.0,34019.0,9596974.0,327974325022.0
20250331,33229,33577,33577,33131,11194573,372254360288,00,0.00,N,5,-961,,069500,2025-03-31,33229.0,33577.0,33577.0,33131.0,11194573.0,372254360288.0
20250401,33705,33479,33832,33302,9318004,313767650154,00,0.00,N,2,475,,069500,2025-04-01,33705.0,33479.0,33832.0,33302.0,9318004.0,313767650154.0
20250402,33538,33749,33793,33401,6927158,232444042652,00,0.00,N,5,-166,,069500,2025-04-02,33538.0,33749.0,33793.0,33401.0,6927158.0,232444042652.0
20250403,33121,32527,33150,32478,11310385,372952386098,00,0.00,N,5,-417,,069500,2025-04-03,33121.0,32527.0,33150.0,32478.0,11310385.0,372952386098.0
20250404,32827,32694,33376,32390,20875829,684600286193,00,0.00,N,5,-294,,069500,2025-04-04,32827.0,32694.0,33376.0,32390.0,20875829.0,684600286193.0
20250407,30957,31360,31448,30810,25683172,797765561555,00,0.00,N,5,-1869,,069500,2025-04-07,30957.0,31360.0,31448.0,30810.0,25683172.0,797765561555.0
20250408,30943,31546,31595,30810,20163420,626627528811,00,0.00,N,5,-14,,069500,2025-04-08,30943.0,31546.0,31595.0,30810.0,20163420.0,626627528811.0
20250409,30427,30879,30972,30261,18182427,555127110235,00,0.00,N,5,-515,,069500,2025-04-09,30427.0,30879.0,30972.0,30261.0,18182427.0,555127110235.0
20250410,32302,32125,32302,31762,12055403,387552307417,00,0.00,N,2,1874,,069500,2025-04-10,32302.0,32125.0,32302.0,31762.0,12055403.0,387552307417.0
20250411,32203,31767,32203,31654,12519493,400451364630,00,0.00,N,5,-98,,069500,2025-04-11,32203.0,31767.0,32203.0,31654.0,12519493.0,400451364630.0
20250414,32410,32380,32606,32306,5615967,182217671767,00,0.00,N,2,206,,069500,2025-04-14,32410.0,32380.0,32606.0,32306.0,5615967.0,182217671767.0
20250415,32728,32454,32817,32454,8906488,291413078458,00,0.00,N,2,318,,069500,2025-04-15,32728.0,32454.0,32817.0,32454.0,8906488.0,291413078458.0
20250416,32218,32591,32650,32203,7170069,231862179407,00,0.00,N,5,-510,,069500,2025-04-16,32218.0,32591.0,32650.0,32203.0,7170069.0,231862179407.0
20250417,32537,32306,32596,32238,6944468,225583649877,00,0.00,N,2,318,,069500,2025-04-17,32537.0,32306.0,32596.0,32238.0,6944468.0,225583649877.0
20250418,32758,32591,32758,32488,6019314,196887618375,00,0.00,N,2,220,,069500,2025-04-18,32758.0,32591.0,32758.0,32488.0,6019314.0,196887618375.0
20250421,32802,32763,32954,32670,5015352,164564261158,00,0.00,N,2,44,,069500,2025-04-21,32802.0,32763.0,32954.0,32670.0,5015352.0,164564261158.0
20250422,32694,32640,32861,32630,5773602,189095343377,00,0.00,N,5,-107,,069500,2025-04-22,32694.0,32640.0,32861.0,32630.0,5773602.0,189095343377.0
20250423,33283,33239,33327,33072,6814160,226667192411,00,0.00,N,2,588,,069500,2025-04-23,33283.0,33239.0,33327.0,33072.0,6814160.0,226667192411.0
20250424,33224,33288,33332,33013,6862672,228018252782,00,0.00,N,5,-58,,069500,2025-04-24,33224.0,33288.0,33332.0,33013.0,6862672.0,228018252782.0
20250425,33533,33587,33690,33420,5902326,198179897271,00,0.00,N,2,309,,069500,2025-04-25,33533.0,33587.0,33690.0,33420.0,5902326.0,198179897271.0
20250428,33558,33592,33710,33499,2976285,100020654120,00,0.00,N,2,24,,069500,2025-04-28,33558.0,33592.0,33710.0,33499.0,2976285.0,100020654120.0
20250429,33786,33652,33965,33538,7107053,240278893081,03,-1.24,N,2,228,,069500,2025-04-29,33786.0,33652.0,33965.0,33538.0,7107053.0,240278893081.0
20250430,33717,33751,33915,33572,6370421,214866234046,00,0.00,N,5,-69,,069500,2025-04-30,33717.0,33751.0,33915.0,33572.0,6370421.0,214866234046.0
20250502,33746,33692,33895,33473,5681445,191800508341,00,0.00,N,2,29,,069500,2025-05-02,33746.0,33692.0,33895.0,33473.0,5681445.0,191800508341.0
20250507,34034,34109,34179,33821,6882821,234152257880,00,0.00,N,2,288,,069500,2025-05-07,34034.0,34109.0,34179.0,33821.0,6882821.0,234152257880.0
20250508,34049,34089,34248,34034,6304208,215007576510,00,0.00,N,2,14,,069500,2025-05-08,34049.0,34089.0,34248.0,34034.0,6304208.0,215007576510.0
20250509,34044,34114,34193,33940,6463894,220257774731,00,0.00,N,5,-4,,069500,2025-05-09,34044.0,34114.0,34193.0,33940.0,6463894.0,220257774731.0
20250512,34526,34278,34526,34208,6386481,220154290866,00,0.00,N,2,481,,069500,2025-05-12,34526.0,34278.0,34526.0,34208.0,6386481.0,220154290866.0
20250513,34606,34675,34819,34526,8545923,296025636052,00,0.00,N,2,79,,069500,2025-05-13,34606.0,34675.0,34819.0,34526.0,8545923.0,296025636052.0
20250514,35068,34919,35227,34839,9660192,338928315710,00,0.00,N,2,462,,069500,2025-05-14,35068.0,34919.0,35227.0,34839.0,9660192.0,338928315710.0
20250515,34809,34973,35147,34765,6739668,235267588406,00,0.00,N,5,-258,,069500,2025-05-15,34809.0,34973.0,35147.0,34765.0,6739668.0,235267588406.0
20250516,34939,34939,35048,34844,6478881,226502272169,00,0.00,N,2,129,,069500,2025-05-16,34939.0,34939.0,35048.0,34844.0,6478881.0,226502272169.0
20250519,34546,34770,34805,34422,7782384,269069435845,00,0.00,N,5,-392,,069500,2025-05-19,34546.0,34770.0,34805.0,34422.0,7782384.0,269069435845.0
20250520,34616,34814,34899,34576,6098522,211507618625,00,0.00,N,2,69,,069500,2025-05-20,34616.0,34814.0,34899.0,34576.0,6098522.0,211507618625.0
20250521,34834,34780,35025,34770,6322851,220540055580,00,0.00,N,2,218,,069500,2025-05-21,34834.0,34780.0,35025.0,34770.0,6322851.0,220540055580.0
20250522,34387,34641,34675,34303,4446123,153224598359,00,0.00,N,5,-447,,069500,2025-05-22,34387.0,34641.0,34675.0,34303.0,4446123.0,153224598359.0
20250523,34417,34482,34561,34387,5619662,193684947591,00,0.00,N,2,29,,069500,2025-05-23,34417.0,34482.0,34561.0,34387.0,5619662.0,193684947591.0
20250526,34963,34501,34998,34477,5697228,198811708672,00,0.00,N,2,546,,069500,2025-05-26,34963.0,34501.0,34998.0,34477.0,5697228.0,198811708672.0
20250527,35073,34869,35103,34834,6235433,218438605425,00,0.00,N,2,109,,069500,2025-05-27,35073.0,34869.0,35103.0,34834.0,6235433.0,218438605425.0
20250528,35550,35187,35878,35132,11146366,396671298491,00,0.00,N,2,476,,069500,2025-05-28,35550.0,35187.0,35878.0,35132.0,11146366.0,396671298491.0
20250529,36255,35952,36280,35808,13995820,506270077540,00,0.00,N,2,705,,069500,2025-05-29,36255.0,35952.0,36280.0,35808.0,13995820.0,506270077540.0
20250530,35907,36121,36225,35848,7754986,279117490338,00,0.00,N,5,-347,,069500,2025-05-30,35907.0,36121.0,36225.0,35848.0,7754986.0,279117490338.0
20250602,35892,35808,36245,35719,7445132,267581333664,00,0.00,N,5,-14,,069500,2025-06-02,35892.0,35808.0,36245.0,35719.0,7445132.0,267581333664.0
